street_name,date,total_vol_l3,total_weight_kg
coates crescent,2016-07-22,674.635098,47.224457
coates crescent,2016-07-25,589.676653,41.277366
coates crescent,2016-07-26,133.979301,9.378551
coates crescent,2016-07-28,689.292621,48.250483
coates crescent,2016-07-30,598.519224,41.896346
coates crescent,2016-08-01,553.5860279999999,38.751023000000004
coates crescent,2016-08-03,585.841412,41.008898
coates crescent,2016-08-04,200.065838,14.004609
coates crescent,2016-08-05,418.73483799999997,29.311439
coates crescent,2016-08-06,489.682899,34.277803
coates crescent,2016-08-09,236.684435,16.56791
connaught place,2016-06-09,557.811363,39.046795
connaught place,2016-06-15,346.692806,24.268496
connaught place,2016-06-24,582.33334,40.763334
connaught place,2016-07-18,875.098369,61.256886
connaught place,2016-07-27,617.353695,43.214759
connaught place,2016-08-04,823.598651,57.651906
crighton place,2016-06-04,72.912171,5.103852
crighton place,2016-06-07,154.55527,10.818869
crighton place,2016-06-09,61.962264,4.337358
crighton place,2016-06-12,75.562267,5.289359
crighton place,2016-06-15,90,6.3
